Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000116189201658227,0.346772984260249,0.204826441151838,0,0,0,5.46650505869892,0.0428978331729934,-1.39473542348787E-05,-1.07070686905421E-06,0.0223525551585646,-0.0001904053157383,0.0542335350355856,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,Base_Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Thigh,0.145847744412445,0.00797100723254199,5.4345807938283E-06,0,0,0,0.683223819592908,0.000730000173725102,-3.87376495849758E-06,-2.8960556912562E-07,0.000554395072535249,2.79548358386144E-07,0.000724119503607722,0,0,0,0,0,0,package://URDF/meshes/FL_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FL_Thigh.STL,,Thigh-8,Origin_FL_Joint0,Axis_FL_Joint0,FL_Joint0,revolute,-0.093,0.55967,0.15667,1.5708,0,3.1416,base_link,1,0,0,5,3,-3,3,,,,,,,,
FL_UpperLeg,-0.00025165458688553,0.000363196918078984,0.000112603905881192,0,0,0,0.0324823439911249,5.70530014589324E-06,-3.98758935726187E-09,-5.47563447124216E-09,4.02965443943131E-06,3.36519239479282E-09,5.60308237093442E-06,0,0,0,0,0,0,package://URDF/meshes/FL_UpperLeg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FL_UpperLeg.STL,,Upper_Leg-4,Origin_FL_Joint1,Axis_FL_Joint1,FL_Joint1,revolute,0.155,0,0,0,0,0,FL_Thigh,0,1,0,5,3,-3,3,,,,,,,,
FL_LowerLeg,4.32114455328758E-10,-0.119218144043721,-3.26901083980147E-09,0,0,0,0.0585307084242943,4.18091193589905E-05,-3.56596788730529E-13,-3.22841523863921E-12,8.64483463526248E-06,-4.68659571165712E-12,4.45974461081382E-05,0,0,0,0,0,0,package://URDF/meshes/FL_LowerLeg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FL_LowerLeg.STL,,Lower_Leg-4,Origin_FL_Joint2,Axis_FL_Joint2,FL_Joint2,prismatic,0,-0.05,0,0,0,0,FL_UpperLeg,0,1,0,5,3,-0.03,0,,,,,,,,
FL_Wheel,1.11022302462516E-16,-1.11022302462516E-16,-1.66533453693773E-16,0,0,0,0.381771502514577,0.000305761106837617,1.01643953670516E-20,-3.06328636026836E-20,0.000305747486565145,9.22320017141046E-20,0.0004498535402749,0,0,0,0,0,0,package://URDF/meshes/FL_Wheel.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://URDF/meshes/FL_Wheel.STL,,wheel-1,Origin_FL_Joint3,Axis_FL_Joint3,FL_Joint3,continuous,0,-0.207215266909561,0,-1.5707963267949,-1.42722102051623,-1.5707963267949,FL_LowerLeg,0,0,1,5,3,-30,30,,,,,,,,
FR_Thigh,0.145847744412445,0.00797100723254213,5.4345807938283E-06,0,0,0,0.683223819592909,0.000730000173725102,-3.87376495849767E-06,-2.89605569124963E-07,0.00055439507253525,2.79548358386667E-07,0.000724119503607722,0,0,0,0,0,0,package://URDF/meshes/FR_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FR_Thigh.STL,,Thigh-7,Origin_FR_Joint0,Axis_FR_Joint0,FR_Joint0,revolute,0.0930000000000001,0.559668708920733,0.156670430160651,1.5707963267949,0,0,base_link,1,0,0,5,3,-3,3,,,,,,,,
FR_UpperLeg,-0.000251654387411954,0.000363197299707352,0.000112603855578763,0,0,0,0.0324823436993694,5.7053000659336E-06,-3.98750318829875E-09,-5.4756251266254E-09,4.02965443392168E-06,3.36517047649505E-09,5.60308230845824E-06,0,0,0,0,0,0,package://URDF/meshes/FR_UpperLeg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FR_UpperLeg.STL,,Upper_Leg-2,Origin_FR_Joint1,Axis_FR_Joint1,FR_Joint1,revolute,0.155,0,0,0,0,0,FR_Thigh,0,1,0,5,3,-3,3,,,,,,,,
FR_LowerLeg,4.32112234882709E-10,-0.119218144043722,-3.26901261615831E-09,0,0,0,0.0585307084242942,4.18091193589904E-05,-3.56596769672288E-13,-3.22841523270908E-12,8.64483463526249E-06,-4.68659571309039E-12,4.45974461081381E-05,0,0,0,0,0,0,package://URDF/meshes/FR_LowerLeg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/FR_LowerLeg.STL,,Lower_Leg-2,Origin_FR_Joint2,Axis_FR_Joint2,FR_Joint2,prismatic,0,-0.05,0,0,0,0,FR_UpperLeg,0,1,0,5,3,-0.03,0,,,,,,,,
FR_Wheel,-1.66533453693773E-16,-1.66533453693773E-16,-2.52575738102223E-15,0,0,0,0.381771502514577,0.000305761106837617,2.71050543121376E-20,8.21745464629926E-21,0.000305747486565144,-1.75449113404696E-20,0.000449853540274899,0,0,0,0,0,0,package://URDF/meshes/FR_Wheel.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://URDF/meshes/FR_Wheel.STL,,wheel-4,Origin_FR_Joint3,Axis_FR_Joint3,FR_Joint3,continuous,0,-0.207215266909562,0,1.5707963267949,-0.658786782595161,1.5707963267949,FR_LowerLeg,0,0,1,5,30,-30,3,,,,,,,,
RL_Thigh,0.145847744412445,0.00797100723254215,5.43458079375891E-06,0,0,0,0.683223819592909,0.000730000173725104,-3.87376495849766E-06,-2.8960556912574E-07,0.00055439507253525,2.79548358386711E-07,0.000724119503607724,0,0,0,0,0,0,package://URDF/meshes/RL_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/RL_Thigh.STL,,Thigh-6,Origin_RL_Joint0,Axis_RL_Joint0,RL_Joint0,revolute,-0.093,0.079669,0.15667,1.5708,0,-3.1416,base_link,1,0,0,5,3,-3,3,,,,,,,,
