Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.018256,0.0018454,0.011795,0,0,0,23.244,0.1167,-5.9811E-06,-0.0010839,0.14914,-5.815E-06,0.22126,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/base_link.STL,,FrameV2_3_down-1;Manipulator_frmeV1-1;FrameV2_4_Self-clinching-nut-2;Hip_Module-1;Hip_Module-2;Hip_Module-3;Hip_Module-4;Belly_holder_left-1;Belly_holder_right-1;Steering_motor_protect_left_v3-1;Steering_motor_protect_right_v3-1;Tube_handle-1;WiFi_Routor_frame_Left-1;WiFi_Routor_frame_Right-1;鋁方管-1;Tube_handle-2;Tube_handle-3;Tube_handle-4;Steering_motor_protect_left_v3-2;Steering_motor_protect_right_v3-2;Wifi router_Archer AX21 AX1800-1;PCL_PCB_set-1;powerboard_mount_side-1;powerboard_mount_side-2;Powerboard_bracket-1;Main_Powerboard-1;IMU_bracket-1;imu-1;HBP60002 _Battery-1;HBP60002 _Battery-2;OrinDemo_base-3;OrinDemo-3;Battery plate-1,Origin_ROBOT,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_link,-6.7288E-05,0.011399,0.097884,0,0,0,1.0403,0.0014098,-1.1399E-06,1.4406E-06,0.00089951,1.0254E-05,0.0012464,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_hip_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_hip_link.STL,,Robot_LegV2_3-4/worm_gear_output shaft_ver3-1;Robot_LegV2_3-4/LegV2_2-1;Robot_LegV2_3-4/Wheel_Inverter_holder-1;Robot_LegV2_3-4/OID-mini inverter-2;Robot_LegV2_3-4/Vicon_spot_holder-1;Robot_LegV2_3-4/Robot_LegV2_Calibration-2;Robot_LegV2_3-4/HT-03 Motor.step-2;Robot_LegV2_3-4/Leg_calibration_magholder-1;Robot_LegV2_3-4/OBF_16-1;Robot_LegV2_3-4/OBF_16-2;Robot_LegV2_3-4/BA1730-1;Robot_LegV2_3-4/Spring_Lid_V2-1;Robot_LegV2_3-4/MotorPCB_bracket_V2-1,FL_hip_co,FL_hip,FL_hip,revolute,0.24547,0.13115,-0.024737,-1.5708,0,0,base_link,0,0,1,10,3,-3.14,3.14,,,,,,,,
FL_steering_link,-0.00042264,-0.0023919,0.012047,0,0,0,0.09112,1.0698E-05,-1.7491E-07,-7.6451E-08,1.1189E-05,-8.4615E-08,1.1712E-05,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_steering_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_steering_link.STL,,Robot_LegV2_3-4/Spline shaft-1;Robot_LegV2_3-4/MRG-32C-10-10-1;Robot_LegV2_3-4/Steering_motor output_V2-1;Robot_LegV2_3-4/KES3-12-1;Robot_LegV2_3-4/KES3-12-2,FL_steering_co,FL_steering_sus,FL_steering,revolute,0,0,0.118,1.5708,0,0,FL_hip_link,0,0,1,10,3,-1.57,1.57,,,,,,,,
FL_suspension_link,-6.3455E-06,-1.7816E-06,-0.15093,0,0,0,0.24798,0.00022996,-5.6842E-10,-1.125E-08,0.00022242,1.1516E-08,2.7308E-05,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_suspension_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_suspension_link.STL,,Robot_LegV2_3-4/Front_fork_ver2_upper-1;Robot_LegV2_3-4/Front_fork_ver4_side-1;Robot_LegV2_3-4/Front_fork_ver4_side-2;Robot_LegV2_3-4/Front_fork_shaft-1;Robot_LegV2_3-4/SWU26-35-1,FL_steering_co,FL_steering_sus,FL_suspension,prismatic,0,0,0,0,0,0,FL_steering_link,0,0,1,0,0,0,0.017,,,,,,,,
FL_wheel_link,1.1102E-16,3.3307E-16,-3.3307E-16,0,0,0,0.4584,0.00043312,-1.785E-20,-3.0514E-20,0.00043313,3.3651E-18,0.00068582,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_wheel_link.STL,0.10196,0.10196,0.10196,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FL_wheel_link.STL,,Robot_LegV2_3-4/OID-4HMNI-1;Robot_LegV2_3-4/Wheel_surface-1,FL_wheel_co,FL_wheel,FL_wheel,revolute,0,0,-0.26,-1.5708,0,0,FL_suspension_link,0,0,1,5,3,-30,30,,,,,,,,
FR_hip_link,6.7287500730373E-05,0.0113994809236642,-0.0978835803330958,0,0,0,1.04033420093602,0.00140982053340184,1.13988324048361E-06,1.44059307933113E-06,0.000899507670354715,-1.02535437937047E-05,0.00124637722179547,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_hip_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_hip_link.STL,,Robot_LegV2_3-1/LegV2_2-1;Robot_LegV2_3-1/Vicon_spot_holder-1;Robot_LegV2_3-1/Leg_calibration_magholder-1;Robot_LegV2_3-1/Wheel_Inverter_holder-1;Robot_LegV2_3-1/OID-mini inverter-2;Robot_LegV2_3-1/HT-03 Motor.step-2;Robot_LegV2_3-1/Robot_LegV2_Calibration-2;Robot_LegV2_3-1/worm_gear_output shaft_ver3-1;Robot_LegV2_3-1/BA1730-1;Robot_LegV2_3-1/Spring_Lid_V2-1;Robot_LegV2_3-1/OBF_16-1;Robot_LegV2_3-1/OBF_16-2;Robot_LegV2_3-1/MotorPCB_bracket_V2-1,FR_hip_co,FR_hip,FR_hip,revolute,0.24547,-0.12885,-0.024737,-1.5708,0,0,base_link,0,0,1,10,3,-3.14,3.14,,,,,,,,
FR__steering_link,0.000422640037611832,0.00239185393046065,0.0120471187970914,0,0,0,0.091119597106628,1.06982247795704E-05,-1.74912807915419E-07,7.64514533118656E-08,1.11887211480573E-05,8.46150840479038E-08,1.1711656231551E-05,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR__steering_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR__steering_link.STL,,Robot_LegV2_3-1/Steering_motor output_V2-1;Robot_LegV2_3-1/MRG-32C-10-10-1;Robot_LegV2_3-1/Spline shaft-1;Robot_LegV2_3-1/KES3-12-1;Robot_LegV2_3-1/KES3-12-2,FR_steering_co,FR_steering_sus,FR_steering,revolute,0,0,-0.118,1.5708,0,0,FR_hip_link,0,0,1,10,3,-1.57,1.57,,,,,,,,
FR_suspension_link,6.34553769052193E-06,1.78159153912949E-06,-0.150928743812754,0,0,0,0.247978491169598,0.000229960361596037,-5.68422200462334E-10,1.12502807401235E-08,0.000222416986990977,-1.15162683158075E-08,2.7308240286619E-05,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_suspension_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_suspension_link.STL,,Robot_LegV2_3-1/Front_fork_ver2_upper-1;Robot_LegV2_3-1/Front_fork_ver4_side-1;Robot_LegV2_3-1/Front_fork_ver4_side-2;Robot_LegV2_3-1/Front_fork_shaft-1;Robot_LegV2_3-1/SWU26-35-1,FR_steering_co,FR_steering_sus,FR_suspension,prismatic,0,0,0,0,0,0,FR__steering_link,0,0,1,0,0,0,0.017,,,,,,,,
FR_wheel_link,-2.22044604925031E-16,-2.77555756156289E-16,0,0,0,0,0.458401874444418,0.000433116018972344,1.88559405490061E-20,1.84243562001244E-20,0.000433129639244817,1.97353453235248E-20,0.000685818097364283,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_wheel_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/FR_wheel_link.STL,,Robot_LegV2_3-1/OID-4HMNI-1;Robot_LegV2_3-1/Wheel_surface-1,FR_wheel_co,FR_wheel,FR_wheel,revolute,0,0,-0.26,-1.5708,0,0,FR_suspension_link,0,0,1,5,3,-30,30,,,,,,,,
RL_hip_link,-6.72875007298873E-05,0.0113994809236646,0.0978835803330976,0,0,0,1.04033420093602,0.00140982053340183,-1.13988324048317E-06,1.44059307933154E-06,0.000899507670354714,1.02535437937084E-05,0.00124637722179546,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/RL_hip_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://AMRV2_only_0115_URDF.SLDASM/meshes/RL_hip_link.STL,,Robot_LegV2_3-2/BA1730-1;Robot_LegV2_3-2/Spring_Lid_V2-1;Robot_LegV2_3-2/OBF_16-1;Robot_LegV2_3-2/OBF_16-2;Robot_LegV2_3-2/HT-03 Motor.step-2;Robot_LegV2_3-2/LegV2_2-1;Robot_LegV2_3-2/worm_gear_output shaft_ver3-1;Robot_LegV2_3-2/Robot_LegV2_Calibration-2;Robot_LegV2_3-2/OID-mini inverter-2;Robot_LegV2_3-2/Wheel_Inverter_holder-1;Robot_LegV2_3-2/Leg_calibration_magholder-1;Robot_LegV2_3-2/Vicon_spot_holder-1;Robot_LegV2_3-2/MotorPCB_bracket_V2-1,RL_hip_co,RL_hip,RL_hip,revolute,-0.23453,0.13115,-0.024737,-1.5708,0,0,base_link,0,0,1,10,3,-3.14,3.14,,,,,,,,
